שם ישוב,סמל ישוב,בוחרים , מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
מאיר שפיה,102,97.0,43.0,0.0,43.0,0.0,17.0,8.0,12.0,1.0
מבוא ביתר,771,237.0,166.0,3.0,163.0,0.0,23.0,105.0,27.0,2.0
מבוא דותן,3569,184.0,99.0,1.0,98.0,0.0,5.0,73.0,10.0,2.0
מבוא חורון,3709,315.0,263.0,2.0,261.0,0.0,0.0,194.0,2.0,46.0
מבוא חמה,4204,303.0,165.0,3.0,162.0,0.0,103.0,23.0,27.0,0.0
מבוא מודיעים,1141,141.0,79.0,0.0,79.0,0.0,4.0,39.0,3.0,17.0
מבועים,1080,493.0,364.0,2.0,362.0,1.0,102.0,181.0,48.0,22.0
מבטחים,829,302.0,183.0,1.0,182.0,0.0,30.0,108.0,7.0,33.0
מבקיעים,573,136.0,109.0,1.0,108.0,0.0,37.0,50.0,15.0,3.0
מבשרת ציון,1015,14866.0,10761.0,87.0,10674.0,50.0,3516.0,4473.0,1398.0,910.0
מג'ד אל-כרום,516,6286.0,5048.0,31.0,5017.0,4144.0,454.0,82.0,4.0,105.0
מג'דל שמס,4201,256.0,103.0,4.0,99.0,1.0,6.0,92.0,0.0,0.0
מגאר,481,9989.0,5032.0,119.0,4913.0,2224.0,1444.0,659.0,40.0,346.0
מגדים,689,508.0,371.0,9.0,362.0,0.0,83.0,175.0,36.0,52.0
מגדל,65,903.0,603.0,10.0,593.0,4.0,57.0,343.0,23.0,139.0
מגדל העמק,874,18592.0,11951.0,253.0,11698.0,29.0,1481.0,6087.0,1881.0,1724.0
מגדל עוז,3561,159.0,117.0,2.0,115.0,0.0,1.0,99.0,6.0,2.0
מגדלים,3751,78.0,38.0,0.0,38.0,0.0,1.0,34.0,3.0,0.0
מגידו,586,301.0,199.0,2.0,197.0,3.0,130.0,21.0,32.0,1.0
מגל,375,406.0,323.0,2.0,321.0,1.0,232.0,34.0,40.0,0.0
מגן,695,363.0,261.0,0.0,261.0,4.0,219.0,4.0,29.0,0.0
מגן שאול,1155,226.0,139.0,0.0,139.0,0.0,27.0,85.0,15.0,4.0
מגשימים,722,482.0,359.0,3.0,356.0,0.0,119.0,140.0,75.0,7.0
מדרך עוז,2029,374.0,267.0,3.0,264.0,0.0,20.0,135.0,12.0,89.0
מדרשת בן גוריון,1140,455.0,319.0,1.0,318.0,4.0,206.0,52.0,48.0,0.0
מודיעין,1200,19897.0,15061.0,119.0,14942.0,15.0,4070.0,6491.0,3364.0,573.0
מודיעין עילית,3797,8807.0,8073.0,69.0,8004.0,0.0,1.0,166.0,8.0,7735.0
מולדת,269,477.0,363.0,5.0,358.0,1.0,235.0,43.0,61.0,0.0
מוצא עילית,208,659.0,445.0,4.0,441.0,4.0,227.0,101.0,84.0,3.0
מוקייבלה,635,1400.0,981.0,49.0,932.0,780.0,29.0,98.0,1.0,9.0
מורג,5407,70.0,63.0,2.0,61.0,0.0,2.0,34.0,0.0,19.0
מורשת,1178,369.0,332.0,0.0,332.0,0.0,3.0,290.0,0.0,16.0
מזור,606,593.0,444.0,1.0,443.0,0.0,161.0,137.0,127.0,3.0
מזכרת בתיה,28,4904.0,3566.0,38.0,3528.0,5.0,1127.0,1377.0,687.0,209.0
מזרע,104,654.0,467.0,2.0,465.0,1.0,402.0,13.0,30.0,0.0
מזרעה,517,1885.0,1410.0,13.0,1397.0,1019.0,203.0,119.0,23.0,15.0
מחולה,3599,216.0,162.0,1.0,161.0,0.0,1.0,145.0,4.0,5.0
מחנה יפה,1415,236.0,125.0,0.0,125.0,0.0,44.0,53.0,26.0,2.0
מחנה תל נוף,1412,173.0,117.0,0.0,117.0,0.0,42.0,39.0,31.0,5.0
מחניים,308,336.0,219.0,1.0,218.0,1.0,163.0,12.0,25.0,0.0
מחסיה,776,225.0,163.0,2.0,161.0,0.0,10.0,107.0,2.0,40.0
מטולה,43,1104.0,723.0,9.0,714.0,2.0,284.0,252.0,125.0,12.0
מטע,822,314.0,205.0,1.0,204.0,3.0,67.0,98.0,13.0,12.0
מי עמי,1128,139.0,98.0,0.0,98.0,0.0,55.0,15.0,18.0,0.0
מיטב,2054,286.0,188.0,3.0,185.0,0.0,23.0,140.0,2.0,12.0
מייסר,649,825.0,390.0,10.0,380.0,229.0,92.0,5.0,0.0,7.0
מירב,1282,127.0,117.0,0.0,117.0,0.0,10.0,93.0,6.0,2.0
מירון,607,327.0,249.0,4.0,245.0,0.0,3.0,158.0,2.0,54.0
מישר,731,352.0,258.0,3.0,255.0,0.0,109.0,75.0,63.0,1.0
מיתר,1268,4198.0,3219.0,21.0,3198.0,3.0,1112.0,1361.0,517.0,68.0
מכבים-רעות,1273,6583.0,4949.0,15.0,4934.0,5.0,2129.0,1378.0,1236.0,57.0
מכורה,3614,120.0,71.0,0.0,71.0,0.0,19.0,32.0,12.0,0.0
מכמורת,382,921.0,616.0,4.0,612.0,1.0,286.0,134.0,145.0,7.0
מכמנים,1202,124.0,93.0,0.0,93.0,2.0,45.0,16.0,19.0,2.0
מלאה,164,222.0,176.0,2.0,174.0,0.0,24.0,109.0,4.0,35.0
מלילות,2044,206.0,156.0,2.0,154.0,1.0,10.0,108.0,2.0,31.0
מלכיה,596,329.0,202.0,3.0,199.0,0.0,142.0,24.0,27.0,3.0
מנוחה,2030,277.0,209.0,5.0,204.0,0.0,14.0,116.0,5.0,58.0
מנוף,1174,366.0,260.0,4.0,256.0,1.0,169.0,31.0,52.0,0.0
מנורה,3796,637.0,543.0,3.0,540.0,0.0,219.0,155.0,142.0,7.0
מנות,1205,201.0,139.0,1.0,138.0,0.0,40.0,64.0,9.0,15.0
מנחמיה,48,935.0,625.0,8.0,617.0,0.0,88.0,351.0,35.0,114.0
מנרה,347,234.0,146.0,2.0,144.0,0.0,105.0,11.0,20.0,0.0
מנשית זבדה,994,415.0,235.0,6.0,229.0,178.0,44.0,1.0,3.0,0.0
מסד,1258,232.0,168.0,1.0,167.0,0.0,91.0,43.0,24.0,3.0
מסדה,263,237.0,170.0,3.0,167.0,0.0,109.0,11.0,39.0,0.0
מסילות,298,507.0,329.0,3.0,326.0,1.0,261.0,26.0,19.0,2.0
מסילת ציון,742,373.0,276.0,0.0,276.0,0.0,109.0,104.0,27.0,26.0
מסלול,748,251.0,190.0,2.0,188.0,0.0,81.0,68.0,14.0,12.0
מסעדה,4203,107.0,36.0,1.0,35.0,0.0,7.0,27.0,0.0,0.0
מסעודין אל-עזאזמה,939,3234.0,1225.0,40.0,1185.0,817.0,120.0,7.0,6.0,20.0
מעברות,197,659.0,490.0,0.0,490.0,1.0,411.0,16.0,32.0,1.0
מעגלים,1082,586.0,459.0,2.0,457.0,0.0,28.0,288.0,2.0,128.0
מעגן,678,278.0,172.0,5.0,167.0,0.0,111.0,29.0,20.0,1.0
מעגן מיכאל,694,1150.0,821.0,7.0,814.0,4.0,655.0,44.0,59.0,0.0
מעוז חיים,272,449.0,323.0,0.0,323.0,1.0,251.0,37.0,26.0,0.0
מעון,3657,125.0,106.0,0.0,106.0,0.0,0.0,84.0,0.0,5.0
מעונה,570,352.0,253.0,2.0,251.0,1.0,58.0,138.0,14.0,28.0
מעטפות כפולות,0,158296.0,158296.0,2363.0,155933.0,1786.0,33894.0,69482.0,28581.0,10556.0
מעיליא,518,1911.0,1428.0,9.0,1419.0,983.0,347.0,15.0,0.0,62.0
מעין ברוך,416,282.0,191.0,3.0,188.0,0.0,143.0,17.0,17.0,1.0
מעין צבי,290,516.0,351.0,3.0,348.0,1.0,268.0,25.0,41.0,2.0
מעלה אדומים,3616,16865.0,12171.0,143.0,12028.0,5.0,721.0,8294.0,1428.0,989.0
מעלה אפרים,3608,1123.0,599.0,10.0,589.0,2.0,52.0,379.0,106.0,18.0
מעלה גלבוע,1127,160.0,114.0,1.0,113.0,0.0,22.0,77.0,7.0,1.0
מעלה גמלא,4008,239.0,148.0,1.0,147.0,0.0,69.0,29.0,42.0,0.0
מעלה החמישה,286,364.0,226.0,1.0,225.0,3.0,148.0,24.0,42.0,0.0
מעלה לבונה,3752,232.0,187.0,1.0,186.0,0.0,0.0,129.0,3.0,10.0
מעלה מכמש,3651,455.0,387.0,1.0,386.0,0.0,0.0,289.0,10.0,49.0
מעלה עירון,1327,5823.0,3223.0,55.0,3168.0,1994.0,277.0,31.0,13.0,13.0
מעלה עמוס,3653,143.0,84.0,0.0,84.0,0.0,0.0,5.0,0.0,70.0
מעלה שומרון,3637,380.0,275.0,6.0,269.0,0.0,3.0,196.0,23.0,31.0
מעלות-תרשיחא,1063,15011.0,10022.0,343.0,9679.0,1529.0,1571.0,3988.0,1527.0,751.0
מענית,344,420.0,332.0,3.0,329.0,0.0,266.0,19.0,24.0,0.0
מעש,230,597.0,458.0,2.0,456.0,0.0,187.0,155.0,86.0,7.0
מפלסים,668,363.0,262.0,0.0,262.0,0.0,208.0,25.0,19.0,0.0
מצדות יהודה,3745,174.0,159.0,0.0,159.0,0.0,2.0,130.0,1.0,4.0
מצובה,325,420.0,276.0,1.0,275.0,0.0,210.0,19.0,29.0,5.0
מצליח,757,674.0,473.0,7.0,466.0,2.0,93.0,278.0,31.0,50.0
מצפה,58,112.0,87.0,1.0,86.0,0.0,31.0,36.0,15.0,2.0
"מצפה אבי""ב",1222,301.0,251.0,2.0,249.0,5.0,127.0,50.0,56.0,1.0
מצפה יריחו,3576,603.0,502.0,1.0,501.0,0.0,3.0,318.0,7.0,43.0
מצפה נטופה,1190,260.0,211.0,4.0,207.0,1.0,17.0,166.0,9.0,5.0
מצפה רמון,99,3534.0,2195.0,63.0,2132.0,24.0,559.0,1164.0,194.0,92.0
מצפה שלם,3610,120.0,83.0,0.0,83.0,0.0,41.0,18.0,14.0,0.0
מצר,648,346.0,260.0,2.0,258.0,1.0,228.0,12.0,12.0,0.0
מקווה ישראל,22,183.0,129.0,0.0,129.0,0.0,62.0,42.0,21.0,3.0
מרגליות,843,245.0,153.0,0.0,153.0,0.0,59.0,72.0,2.0,14.0
מרום גולן,4101,336.0,199.0,1.0,198.0,0.0,96.0,34.0,58.0,0.0
מרחביה )מושב(,97,427.0,333.0,2.0,331.0,2.0,172.0,97.0,44.0,1.0
מרחביה )קיבוץ(,66,521.0,374.0,10.0,364.0,0.0,301.0,16.0,24.0,5.0
מרכז שפירא,1098,995.0,844.0,4.0,840.0,0.0,24.0,657.0,11.0,121.0
משאבי שדה,421,504.0,318.0,3.0,315.0,0.0,227.0,37.0,30.0,3.0
משגב דב,765,346.0,260.0,1.0,259.0,0.0,64.0,101.0,80.0,1.0
משגב עם,378,196.0,117.0,0.0,117.0,1.0,81.0,12.0,10.0,0.0
משהד,520,3304.0,1776.0,32.0,1744.0,1326.0,199.0,48.0,3.0,37.0
משואה,3605,140.0,85.0,1.0,84.0,0.0,6.0,55.0,14.0,0.0
משואות יצחק,620,408.0,330.0,1.0,329.0,0.0,28.0,284.0,9.0,1.0
משמר איילון,670,316.0,264.0,3.0,261.0,2.0,83.0,126.0,32.0,6.0
משמר דוד,563,161.0,101.0,0.0,101.0,0.0,60.0,17.0,13.0,1.0
משמר הירדן,732,253.0,172.0,2.0,170.0,0.0,17.0,111.0,9.0,24.0
משמר הנגב,395,644.0,371.0,3.0,368.0,1.0,279.0,32.0,44.0,2.0
משמר העמק,130,768.0,572.0,2.0,570.0,0.0,518.0,9.0,29.0,0.0
משמר השבעה,729,511.0,395.0,4.0,391.0,0.0,112.0,141.0,110.0,11.0
משמר השרון,194,413.0,267.0,4.0,263.0,0.0,203.0,12.0,29.0,1.0
משמרות,213,216.0,150.0,1.0,149.0,0.0,115.0,18.0,10.0,0.0
משמרת,425,352.0,264.0,3.0,261.0,0.0,134.0,62.0,51.0,1.0
משען,791,463.0,300.0,5.0,295.0,0.0,11.0,225.0,5.0,47.0
מתן,1315,1463.0,1180.0,14.0,1166.0,2.0,428.0,385.0,298.0,21.0
מתת,1184,101.0,73.0,1.0,72.0,1.0,26.0,18.0,10.0,3.0
מתתיהו,3648,173.0,131.0,2.0,129.0,0.0,0.0,8.0,6.0,114.0
נאות גולן,4551,218.0,134.0,1.0,133.0,0.0,32.0,52.0,40.0,0.0
נאות הכיכר,1124,274.0,183.0,1.0,182.0,0.0,94.0,49.0,36.0,0.0
נאות מרדכי,408,475.0,339.0,3.0,336.0,0.0,257.0,36.0,16.0,6.0
נאות סמדר,1197,191.0,131.0,0.0,131.0,0.0,82.0,26.0,13.0,3.0
נאעורה,524,868.0,532.0,4.0,528.0,272.0,152.0,4.0,59.0,25.0
נבטים,396,560.0,378.0,6.0,372.0,57.0,139.0,114.0,18.0,30.0
נגבה,315,483.0,336.0,4.0,332.0,1.0,282.0,14.0,25.0,3.0
נהורה,309,582.0,400.0,2.0,398.0,0.0,73.0,203.0,46.0,64.0
נהלל,80,570.0,423.0,5.0,418.0,1.0,216.0,123.0,64.0,0.0
נהריה,9100,39460.0,24538.0,429.0,24109.0,87.0,4672.0,12016.0,4647.0,1954.0
נוב,4304,338.0,254.0,1.0,253.0,0.0,1.0,234.0,3.0,8.0
נוגה,55,310.0,194.0,1.0,193.0,0.0,34.0,128.0,10.0,19.0
נווה אבות,926,228.0,15.0,0.0,15.0,0.0,5.0,5.0,2.0,3.0
נווה אור,590,275.0,179.0,1.0,178.0,0.0,135.0,10.0,26.0,0.0
"נווה אטי""ב",4303,129.0,83.0,0.0,83.0,1.0,10.0,46.0,15.0,0.0
נווה אילן,405,363.0,194.0,4.0,190.0,1.0,87.0,40.0,42.0,3.0
נווה איתן,296,199.0,144.0,1.0,143.0,0.0,98.0,15.0,21.0,1.0
נווה אפעל,2032,647.0,444.0,24.0,420.0,4.0,315.0,53.0,41.0,2.0
נווה אפרים,1062,2283.0,1651.0,18.0,1633.0,0.0,723.0,489.0,322.0,35.0
נווה דניאל,3725,472.0,404.0,1.0,403.0,0.0,1.0,330.0,24.0,8.0
נווה דקלים,5427,1292.0,996.0,10.0,986.0,0.0,3.0,721.0,7.0,121.0
נווה זוהר,1057,87.0,39.0,0.0,39.0,0.0,11.0,16.0,9.0,1.0
נווה זיו,1314,129.0,107.0,0.0,107.0,0.0,43.0,38.0,25.0,0.0
נווה ים,312,149.0,106.0,1.0,105.0,0.0,54.0,30.0,16.0,0.0
נווה ימין,686,675.0,513.0,8.0,505.0,0.0,65.0,328.0,52.0,49.0
נווה ירק,858,606.0,478.0,4.0,474.0,0.0,211.0,110.0,133.0,2.0
נווה מבטח,827,402.0,271.0,0.0,271.0,0.0,126.0,77.0,58.0,3.0
נווה מיכאל,1071,246.0,178.0,1.0,177.0,0.0,15.0,99.0,8.0,47.0
נווה שלום,1259,78.0,65.0,0.0,65.0,39.0,23.0,0.0,1.0,0.0
נועם,15,309.0,224.0,1.0,223.0,1.0,9.0,133.0,0.0,78.0
נוף איילון,1333,188.0,162.0,0.0,162.0,0.0,0.0,111.0,15.0,25.0
נופים,3790,289.0,195.0,2.0,193.0,0.0,3.0,151.0,9.0,14.0
נופית,1284,1191.0,968.0,4.0,964.0,1.0,451.0,211.0,259.0,7.0
נופך,257,202.0,148.0,3.0,145.0,0.0,21.0,95.0,6.0,12.0
נוקדים,3726,357.0,264.0,6.0,258.0,0.0,3.0,216.0,9.0,4.0
נורדיה,447,1278.0,908.0,6.0,902.0,0.0,246.0,433.0,194.0,9.0
נחושה,59,118.0,103.0,0.0,103.0,0.0,0.0,55.0,1.0,40.0
נחל עוז,844,265.0,171.0,3.0,168.0,0.0,133.0,13.0,7.0,0.0
נחלה,2045,293.0,211.0,0.0,211.0,0.0,36.0,78.0,2.0,89.0
נחליאל,3767,121.0,84.0,0.0,84.0,0.0,0.0,11.0,0.0,40.0
נחלים,449,698.0,592.0,1.0,591.0,0.0,17.0,514.0,4.0,32.0
נחם,809,319.0,247.0,7.0,240.0,0.0,10.0,143.0,8.0,72.0
נחף,522,4762.0,2928.0,54.0,2874.0,2503.0,211.0,12.0,3.0,49.0
נחשולים,433,342.0,250.0,1.0,249.0,0.0,190.0,24.0,17.0,0.0
נחשון,777,326.0,235.0,0.0,235.0,0.0,207.0,6.0,12.0,0.0
נחשונים,705,286.0,193.0,0.0,193.0,0.0,136.0,16.0,29.0,0.0
נטועה,1147,214.0,140.0,3.0,137.0,0.0,26.0,80.0,3.0,26.0
נטעים,174,319.0,251.0,1.0,250.0,1.0,138.0,49.0,52.0,1.0
נטף,1254,210.0,155.0,0.0,155.0,1.0,118.0,19.0,9.0,0.0
ניין,523,819.0,548.0,16.0,532.0,110.0,409.0,4.0,1.0,4.0
"ניל""י",3655,458.0,370.0,3.0,367.0,1.0,21.0,245.0,78.0,8.0
ניסנית,5426,529.0,406.0,2.0,404.0,0.0,28.0,283.0,29.0,50.0
ניצן,351,178.0,135.0,0.0,135.0,0.0,9.0,96.0,6.0,12.0
ניצנה )קהילת חינו,1195,359.0,175.0,1.0,174.0,0.0,42.0,68.0,44.0,4.0
ניצני עוז,851,475.0,352.0,3.0,349.0,0.0,104.0,155.0,52.0,18.0
ניצנים,359,353.0,249.0,2.0,247.0,1.0,180.0,12.0,39.0,1.0
ניר אליהו,808,320.0,218.0,3.0,215.0,1.0,162.0,27.0,13.0,0.0
ניר בנים,553,391.0,298.0,1.0,297.0,0.0,174.0,44.0,69.0,2.0
ניר גלים,720,307.0,252.0,2.0,250.0,1.0,13.0,222.0,3.0,9.0
ניר דוד )תל עמל(,256,544.0,415.0,5.0,410.0,1.0,364.0,5.0,24.0,1.0
"ניר ח""ן",11,269.0,162.0,1.0,161.0,0.0,45.0,92.0,15.0,3.0
ניר יפה,165,256.0,184.0,0.0,184.0,0.0,46.0,121.0,13.0,0.0
ניר יצחק,402,462.0,343.0,2.0,341.0,6.0,300.0,6.0,17.0,0.0
ניר ישראל,699,454.0,326.0,3.0,323.0,1.0,149.0,93.0,64.0,1.0
ניר משה,2047,255.0,180.0,0.0,180.0,0.0,79.0,75.0,11.0,10.0
ניר עוז,69,337.0,251.0,2.0,249.0,2.0,216.0,8.0,8.0,1.0
ניר עם,348,326.0,198.0,0.0,198.0,0.0,159.0,23.0,7.0,1.0
ניר עציון,769,414.0,244.0,5.0,239.0,13.0,40.0,177.0,3.0,3.0
ניר עקיבא,2048,195.0,139.0,3.0,136.0,0.0,41.0,49.0,19.0,25.0
ניר צבי,331,720.0,539.0,6.0,533.0,3.0,252.0,137.0,119.0,5.0
נירים,602,355.0,256.0,1.0,255.0,4.0,233.0,6.0,6.0,0.0
נירית,1236,591.0,464.0,4.0,460.0,1.0,205.0,112.0,126.0,5.0
נירן,3620,47.0,24.0,0.0,24.0,0.0,16.0,4.0,2.0,0.0
נס הרים,825,374.0,256.0,4.0,252.0,0.0,41.0,168.0,11.0,24.0
נס ציונה,7200,19726.0,13742.0,231.0,13511.0,28.0,4006.0,5684.0,2412.0,876.0
נעורים,186,122.0,55.0,2.0,53.0,0.0,21.0,20.0,6.0,6.0
נעלה,3787,317.0,239.0,4.0,235.0,0.0,27.0,147.0,46.0,6.0
נעמי,3713,68.0,40.0,1.0,39.0,0.0,4.0,25.0,8.0,0.0
נען,158,1039.0,753.0,3.0,750.0,1.0,623.0,49.0,51.0,0.0
נצאצרה )שבט(,1041,236.0,86.0,3.0,83.0,67.0,6.0,2.0,6.0,1.0
נצר חזני,5410,242.0,188.0,0.0,188.0,0.0,1.0,157.0,0.0,21.0
נצר סרני,435,500.0,367.0,3.0,364.0,0.0,308.0,20.0,27.0,1.0
נצרים,5408,122.0,112.0,0.0,112.0,0.0,1.0,105.0,1.0,1.0
נצרת,7300,42180.0,25789.0,720.0,25069.0,21601.0,2543.0,297.0,30.0,146.0
נצרת עילית,1061,38991.0,22735.0,729.0,22006.0,1352.0,3469.0,11703.0,4193.0,560.0
נשר,2500,16436.0,10540.0,211.0,10329.0,26.0,1845.0,5070.0,2466.0,627.0
נתיב הגדוד,3555,126.0,53.0,0.0,53.0,0.0,18.0,19.0,13.0,1.0
"נתיב הל""ה",693,316.0,262.0,2.0,260.0,0.0,185.0,41.0,17.0,4.0
נתיב העשרה,1242,488.0,353.0,4.0,349.0,0.0,142.0,123.0,62.0,1.0
נתיב השיירה,792,326.0,234.0,1.0,233.0,0.0,94.0,102.0,21.0,10.0
נתיבות,246,13426.0,9996.0,163.0,9833.0,21.0,812.0,3421.0,1064.0,4294.0
נתניה,7400,136302.0,80618.0,1537.0,79081.0,111.0,12675.0,39640.0,13573.0,10957.0
סאג'ור,525,1838.0,1132.0,15.0,1117.0,174.0,405.0,250.0,148.0,127.0
סאסא,578,383.0,261.0,0.0,261.0,1.0,210.0,17.0,21.0,2.0
סביון,587,2332.0,1530.0,16.0,1514.0,5.0,631.0,455.0,353.0,28.0
סגולה,2046,250.0,171.0,0.0,171.0,0.0,67.0,63.0,37.0,3.0
סואעד )חמרייה()שב,942,93.0,30.0,0.0,30.0,14.0,11.0,5.0,0.0,0.0
סואעד )כמאנה( )שב,989,178.0,71.0,5.0,66.0,14.0,11.0,6.0,1.0,25.0
סולם,526,1256.0,854.0,19.0,835.0,530.0,210.0,13.0,0.0,79.0
סוסיה,3756,214.0,189.0,1.0,188.0,0.0,0.0,164.0,0.0,8.0
סופה,1238,289.0,157.0,1.0,156.0,0.0,86.0,31.0,27.0,1.0
סח'נין,7500,13164.0,9728.0,88.0,9640.0,6956.0,1054.0,154.0,43.0,111.0
סייד )שבט(,1170,940.0,298.0,6.0,292.0,88.0,139.0,29.0,1.0,28.0
סלמה,1245,1188.0,705.0,19.0,686.0,386.0,102.0,53.0,2.0,69.0
סלעית,3567,321.0,232.0,0.0,232.0,0.0,85.0,66.0,77.0,0.0
סמר,1156,180.0,113.0,1.0,112.0,7.0,78.0,5.0,7.0,0.0
סעד,419,505.0,397.0,0.0,397.0,0.0,85.0,283.0,10.0,3.0
סער,454,345.0,219.0,2.0,217.0,3.0,153.0,24.0,23.0,2.0
ספיר,1176,215.0,134.0,4.0,130.0,1.0,43.0,53.0,16.0,6.0
ספסופה,609,403.0,278.0,2.0,276.0,1.0,38.0,145.0,6.0,70.0
סתריה,610,527.0,398.0,2.0,396.0,2.0,197.0,106.0,68.0,5.0
ע'ג'ר,4501,942.0,419.0,42.0,377.0,75.0,225.0,38.0,11.0,8.0
עבדון,892,317.0,232.0,6.0,226.0,1.0,31.0,104.0,7.0,71.0
עברון,376,572.0,433.0,2.0,431.0,2.0,375.0,9.0,25.0,0.0
עגור,794,237.0,178.0,1.0,177.0,0.0,23.0,98.0,1.0,49.0
עדי,1199,922.0,734.0,3.0,731.0,1.0,252.0,257.0,197.0,6.0
עדנים,2035,256.0,203.0,1.0,202.0,1.0,83.0,59.0,51.0,0.0
עוזה,826,415.0,300.0,1.0,299.0,0.0,2.0,133.0,1.0,158.0
עוזייר,528,1084.0,516.0,11.0,505.0,378.0,70.0,5.0,1.0,46.0
עולש,737,525.0,381.0,4.0,377.0,0.0,134.0,144.0,81.0,5.0
עומר,666,5232.0,3849.0,43.0,3806.0,13.0,1810.0,1049.0,815.0,35.0
עופר,810,245.0,171.0,2.0,169.0,0.0,63.0,69.0,20.0,3.0
עופרה,3617,1196.0,980.0,11.0,969.0,0.0,9.0,823.0,31.0,28.0
עופרים,3792,467.0,350.0,3.0,347.0,0.0,43.0,237.0,36.0,18.0
עוצם,32,376.0,286.0,4.0,282.0,0.0,18.0,87.0,3.0,172.0
עוקבי )בנו עוקבה(,957,199.0,103.0,2.0,101.0,54.0,20.0,1.0,1.0,24.0
עזר,1149,441.0,322.0,0.0,322.0,0.0,102.0,150.0,42.0,17.0
עזריאל,837,336.0,266.0,4.0,262.0,0.0,7.0,174.0,4.0,65.0
עזריה,711,460.0,331.0,5.0,326.0,1.0,17.0,253.0,4.0,36.0
עזריקם,817,584.0,418.0,2.0,416.0,0.0,59.0,287.0,14.0,42.0
עטאוונה )שבט(,969,251.0,91.0,0.0,91.0,60.0,18.0,3.0,0.0,6.0
עטרת,3658,146.0,122.0,0.0,122.0,0.0,0.0,104.0,2.0,6.0
עידן,1175,153.0,75.0,1.0,74.0,0.0,33.0,27.0,11.0,1.0
עיילבון,530,2599.0,2058.0,35.0,2023.0,1583.0,337.0,60.0,2.0,25.0
עיינות,156,54.0,27.0,0.0,27.0,1.0,12.0,9.0,4.0,0.0
עילוט,511,3024.0,1306.0,38.0,1268.0,936.0,189.0,15.0,2.0,114.0
עין איילה,687,376.0,275.0,5.0,270.0,1.0,122.0,58.0,71.0,4.0
עין אל-אסד,546,437.0,246.0,3.0,243.0,15.0,51.0,162.0,0.0,11.0
עין גב,273,420.0,293.0,1.0,292.0,2.0,223.0,41.0,18.0,0.0
עין גדי,2042,461.0,291.0,0.0,291.0,1.0,217.0,22.0,33.0,3.0
עין דור,436,719.0,434.0,2.0,432.0,0.0,340.0,26.0,51.0,0.0
עין הבשור,1240,405.0,276.0,1.0,275.0,0.0,103.0,101.0,57.0,4.0
עין הוד,74,261.0,175.0,1.0,174.0,0.0,114.0,20.0,26.0,3.0
עין החורש,167,622.0,464.0,3.0,461.0,2.0,401.0,13.0,22.0,0.0
עין המפרץ,289,627.0,463.0,4.0,459.0,1.0,400.0,11.0,20.0,2.0
"עין הנצי""ב",383,399.0,304.0,0.0,304.0,0.0,38.0,244.0,10.0,2.0
עין העמק,367,435.0,307.0,7.0,300.0,0.0,26.0,179.0,17.0,49.0
עין השופט,270,722.0,479.0,2.0,477.0,1.0,412.0,15.0,32.0,1.0
עין השלושה,676,290.0,179.0,4.0,175.0,1.0,137.0,16.0,19.0,0.0
עין ורד,157,646.0,513.0,4.0,509.0,0.0,322.0,82.0,81.0,4.0
עין זיוון,4503,194.0,103.0,4.0,99.0,1.0,39.0,24.0,25.0,0.0
עין חרוד )איחוד(,89,524.0,389.0,7.0,382.0,1.0,278.0,85.0,3.0,0.0
עין חרוד )מאוחד(,82,709.0,479.0,8.0,471.0,0.0,349.0,53.0,45.0,2.0
עין יהב,806,432.0,279.0,2.0,277.0,2.0,164.0,32.0,72.0,0.0
עין יעקב,813,327.0,226.0,3.0,223.0,4.0,67.0,112.0,6.0,27.0
עין כרמל,426,343.0,244.0,4.0,240.0,0.0,204.0,15.0,16.0,0.0
עין מאהל,532,5266.0,3586.0,99.0,3487.0,2715.0,477.0,65.0,3.0,57.0
עין נקובא,521,753.0,434.0,50.0,384.0,166.0,158.0,29.0,4.0,16.0
עין עירון,223,249.0,194.0,0.0,194.0,2.0,107.0,39.0,36.0,0.0
עין צורים,622,357.0,271.0,0.0,271.0,0.0,30.0,214.0,11.0,1.0
עין ראפה,514,345.0,173.0,25.0,148.0,61.0,57.0,23.0,1.0,0.0
עין שמר,139,548.0,401.0,3.0,398.0,2.0,358.0,6.0,13.0,0.0
עין שריד,880,706.0,516.0,4.0,512.0,2.0,131.0,195.0,63.0,104.0
עינת,871,456.0,370.0,1.0,369.0,1.0,243.0,35.0,67.0,1.0
עכו,7600,36860.0,22285.0,506.0,21779.0,4203.0,2241.0,9741.0,2563.0,2329.0
עלומים,1146,268.0,209.0,3.0,206.0,0.0,13.0,177.0,6.0,4.0
עלי,3765,1006.0,787.0,12.0,775.0,0.0,2.0,623.0,37.0,41.0
עלי זהב,3727,270.0,187.0,1.0,186.0,0.0,7.0,136.0,16.0,9.0
עלמה,688,512.0,362.0,4.0,358.0,1.0,4.0,236.0,2.0,102.0
עלמון,3715,419.0,327.0,0.0,327.0,0.0,16.0,265.0,33.0,2.0
עמוקה,1212,155.0,99.0,2.0,97.0,0.0,60.0,17.0,10.0,0.0
עמינדב,779,397.0,285.0,0.0,285.0,0.0,80.0,145.0,27.0,23.0
עמיעד,385,433.0,266.0,1.0,265.0,0.0,197.0,18.0,30.0,1.0
עמיעוז,318,186.0,123.0,0.0,123.0,0.0,19.0,76.0,4.0,19.0
